Date,Temperature at 2 meters (c),Precipitation Corrected (mm/day),Specific Humidity at 2 Meters (g/kg),Wind Direction at 2 Meters (Degrees),Wind Speed at 2 Meters (m/s),Root Zone Soil Wetness
01/01/2001,13.23,14.9,8.09,101.3,1.79,0.36
02/01/2001,12.75,0.0,5.85,348.9,1.27,0.37
03/01/2001,13.02,0.0,5.75,310.1,2.06,0.37
04/01/2001,12.54,0.0,4.9,310.1,2.69,0.37
05/01/2001,11.97,0.0,3.88,310.6,2.61,0.36
06/01/2001,12.78,0.0,3.08,352.4,0.83,0.36
07/01/2001,11.49,0.0,3.22,3.7,1.11,0.36
08/01/2001,10.27,0.0,3.43,315.0,1.65,0.36
09/01/2001,11.01,0.0,3.34,309.6,2.24,0.36
10/01/2001,10.05,0.0,3.14,307.1,2.21,0.36
11/01/2001,10.77,0.0,2.94,308.3,2.13,0.36
12/01/2001,12.13,0.0,3.0,318.6,1.1,0.36
13/01/2001,11.26,0.0,3.09,310.6,2.03,0.36
14/01/2001,11.54,0.0,3.23,307.9,2.3,0.36
15/01/2001,12.35,0.0,2.89,330.5,1.18,0.35
16/01/2001,11.86,0.0,2.95,320.3,1.72,0.35
17/01/2001,12.61,0.0,2.86,323.6,1.4,0.35
18/01/2001,13.1,0.0,2.96,319.8,1.64,0.35
19/01/2001,13.64,0.0,2.89,317.0,1.52,0.35
20/01/2001,14.51,0.0,2.85,330.9,1.17,0.35
21/01/2001,13.98,0.0,3.13,139.5,1.66,0.35
22/01/2001,13.75,0.13,3.67,179.5,1.39,0.35
23/01/2001,11.0,2.19,3.43,308.7,2.31,0.35
24/01/2001,11.16,0.0,2.45,309.1,4.02,0.35
25/01/2001,11.75,0.0,2.35,302.2,3.28,0.35
26/01/2001,14.39,0.0,2.68,304.8,2.94,0.35
27/01/2001,14.65,0.0,2.38,310.4,3.22,0.35
28/01/2001,14.92,0.0,2.52,306.9,2.39,0.34
29/01/2001,17.91,0.0,2.62,349.8,1.19,0.34
30/01/2001,18.94,0.0,2.93,194.9,1.52,0.34
31/01/2001,16.25,0.0,2.95,300.8,2.14,0.34
01/02/2001,13.21,0.0,1.7,308.5,2.69,0.34
02/02/2001,12.33,0.0,1.79,311.4,3.21,0.34
03/02/2001,12.44,0.0,1.82,306.7,2.35,0.34
04/02/2001,15.18,0.0,1.75,348.8,0.71,0.34
05/02/2001,14.31,0.0,1.9,356.2,1.3,0.34
06/02/2001,14.71,0.0,1.58,315.1,2.48,0.34
07/02/2001,15.31,0.0,1.72,311.5,2.76,0.34
08/02/2001,16.38,0.0,2.08,307.5,3.6,0.34
09/02/2001,15.87,0.0,2.21,303.9,3.3,0.34
10/02/2001,16.91,0.0,1.87,310.7,1.97,0.34
11/02/2001,16.27,0.0,1.56,310.0,1.87,0.33
12/02/2001,18.39,0.0,1.5,328.4,1.25,0.33
13/02/2001,19.25,0.0,1.82,337.8,1.84,0.33
14/02/2001,18.62,0.25,2.72,108.2,3.34,0.33
15/02/2001,17.16,0.56,5.4,103.2,2.3,0.33
16/02/2001,18.86,0.5,5.25,22.4,1.18,0.34
17/02/2001,20.36,0.0,4.34,350.9,0.95,0.33
18/02/2001,19.69,0.0,4.34,318.2,1.94,0.33
19/02/2001,19.51,0.0,3.09,305.0,2.92,0.33
20/02/2001,20.48,0.17,3.89,336.4,2.7,0.33
21/02/2001,19.84,0.0,5.25,327.6,1.56,0.33
22/02/2001,20.9,0.0,3.81,306.6,2.3,0.33
23/02/2001,22.06,0.0,4.47,310.7,1.47,0.33
24/02/2001,22.79,5.33,7.26,258.6,1.42,0.33
25/02/2001,20.48,0.28,9.12,204.3,1.28,0.34
26/02/2001,18.32,0.0,5.39,323.3,1.33,0.34
27/02/2001,18.51,0.0,2.63,306.9,1.38,0.34
28/02/2001,18.17,0.0,2.08,352.7,1.22,0.34
01/03/2001,17.65,0.0,1.94,320.7,2.58,0.34
02/03/2001,18.33,0.0,1.89,313.5,2.82,0.34
03/03/2001,18.91,0.0,1.9,304.7,1.66,0.34
04/03/2001,19.01,0.0,1.95,307.2,1.77,0.34
05/03/2001,18.34,0.0,2.06,302.0,2.1,0.34
06/03/2001,20.05,0.0,2.03,295.2,1.98,0.33
07/03/2001,22.43,0.0,2.09,303.3,1.61,0.33
08/03/2001,22.9,0.0,2.18,324.4,1.32,0.33
09/03/2001,22.26,0.0,2.15,322.6,1.39,0.33
10/03/2001,22.41,0.0,2.17,317.9,1.83,0.33
11/03/2001,24.05,0.0,2.17,318.7,1.71,0.33
12/03/2001,24.2,0.0,2.58,136.2,1.52,0.33
13/03/2001,24.8,0.0,3.51,143.3,2.33,0.33
14/03/2001,24.33,0.15,6.88,136.5,2.0,0.33
15/03/2001,24.19,0.01,6.43,55.2,1.67,0.33
16/03/2001,23.26,0.0,2.13,317.8,2.86,0.33
17/03/2001,23.19,0.0,2.28,300.9,2.43,0.33
18/03/2001,25.16,0.0,2.56,322.0,1.68,0.33
19/03/2001,26.52,0.0,3.17,315.7,1.48,0.33
20/03/2001,27.3,0.29,4.36,222.6,1.64,0.33
21/03/2001,23.83,0.01,5.42,184.9,1.89,0.33
22/03/2001,23.58,0.0,3.86,300.4,1.73,0.33
23/03/2001,24.09,0.0,3.4,322.1,2.23,0.33
24/03/2001,23.09,0.0,2.93,308.1,2.46,0.33
25/03/2001,25.2,0.0,2.97,310.8,2.8,0.33
26/03/2001,26.09,0.0,3.49,303.6,2.15,0.33
27/03/2001,27.42,0.0,3.31,299.2,2.29,0.33
28/03/2001,28.79,0.6,7.08,199.0,1.81,0.33
29/03/2001,26.9,1.35,6.96,135.2,2.65,0.33
30/03/2001,25.77,1.99,6.61,328.9,2.35,0.34
31/03/2001,23.8,1.19,5.72,306.1,1.46,0.34
01/04/2001,24.2,0.0,4.99,320.1,1.74,0.34
02/04/2001,25.2,0.0,4.63,313.4,1.84,0.34
03/04/2001,27.01,0.0,4.4,339.1,1.35,0.34
04/04/2001,27.47,0.0,3.89,99.2,1.45,0.33
05/04/2001,28.15,0.03,3.84,135.3,1.49,0.33
06/04/2001,28.67,0.21,3.91,335.6,1.51,0.33
07/04/2001,28.86,0.0,2.49,316.1,2.6,0.33
08/04/2001,29.21,0.0,2.59,285.0,2.18,0.33
09/04/2001,30.69,0.0,2.24,238.7,1.75,0.33
10/04/2001,32.69,0.0,3.28,207.1,1.09,0.33
11/04/2001,31.31,0.0,3.59,249.2,1.8,0.33
12/04/2001,29.02,0.73,6.08,103.3,2.84,0.33
13/04/2001,29.33,0.73,6.81,140.8,2.74,0.33
14/04/2001,29.01,1.72,8.25,102.6,2.71,0.34
15/04/2001,30.03,8.43,9.37,125.3,1.83,0.34
16/04/2001,26.4,12.08,10.7,106.8,1.4,0.36
17/04/2001,25.03,11.09,10.41,143.1,1.76,0.38
18/04/2001,25.86,0.41,9.64,44.3,1.22,0.38
19/04/2001,26.55,1.23,9.16,163.7,1.42,0.38
20/04/2001,25.51,0.0,9.27,297.3,3.12,0.38
21/04/2001,26.45,0.0,7.07,307.8,3.99,0.37
22/04/2001,27.86,0.0,6.12,308.8,3.13,0.37
23/04/2001,29.53,0.0,5.59,309.2,2.71,0.36
24/04/2001,30.91,0.0,5.93,344.8,1.4,0.36
25/04/2001,31.55,0.0,7.27,319.8,2.11,0.36
26/04/2001,32.91,0.0,7.31,299.5,1.84,0.35
27/04/2001,33.12,0.0,6.69,294.5,1.97,0.35
28/04/2001,33.2,0.0,6.46,282.2,2.53,0.35
29/04/2001,33.37,0.0,5.8,316.3,2.46,0.34
30/04/2001,35.13,0.0,5.46,298.7,1.51,0.34
01/05/2001,36.45,0.01,7.14,297.6,1.27,0.34
02/05/2001,35.4,0.42,7.07,303.1,1.36,0.34
03/05/2001,35.69,0.0,6.64,323.0,0.94,0.34
04/05/2001,34.84,1.22,6.04,84.5,1.63,0.34
05/05/2001,34.82,0.0,4.59,146.6,1.83,0.34
06/05/2001,35.43,0.0,4.62,129.5,2.39,0.33
07/05/2001,35.04,0.0,5.92,126.5,2.93,0.33
08/05/2001,36.51,0.15,7.81,290.7,2.34,0.33
09/05/2001,37.09,0.0,6.92,294.4,3.85,0.33
10/05/2001,37.03,0.0,5.36,293.4,4.31,0.33
11/05/2001,37.49,0.0,4.58,276.0,2.91,0.33
12/05/2001,36.9,0.0,5.94,190.4,1.51,0.33
13/05/2001,37.35,0.0,5.87,171.5,1.81,0.33
14/05/2001,37.46,0.0,5.92,275.0,2.81,0.33
15/05/2001,36.65,0.65,6.9,170.1,2.5,0.33
16/05/2001,31.88,14.0,12.38,102.3,2.23,0.35
17/05/2001,30.22,3.04,13.81,160.9,2.2,0.36
18/05/2001,28.68,1.75,13.95,125.5,2.14,0.36
19/05/2001,28.64,2.44,13.71,72.4,1.58,0.36
20/05/2001,31.45,0.34,13.64,263.8,1.64,0.36
21/05/2001,33.08,0.38,13.64,278.4,2.13,0.35
22/05/2001,33.08,0.08,13.46,297.0,2.02,0.35
23/05/2001,34.5,0.0,10.92,301.4,3.48,0.35
24/05/2001,35.96,0.0,9.74,302.0,2.63,0.34
25/05/2001,36.45,0.0,8.2,278.0,2.91,0.34
26/05/2001,37.07,0.09,8.81,273.1,4.26,0.34
27/05/2001,35.75,2.92,10.76,268.4,2.22,0.34
28/05/2001,34.08,18.45,13.55,295.3,2.04,0.36
29/05/2001,32.85,10.21,15.59,270.6,1.57,0.37
30/05/2001,33.89,0.83,15.07,265.7,2.85,0.38
31/05/2001,33.47,8.31,16.49,270.0,3.35,0.39
01/06/2001,33.26,12.88,16.45,236.1,1.59,0.39
02/06/2001,33.63,5.0,15.35,276.3,1.44,0.41
03/06/2001,34.84,0.14,14.0,136.7,1.21,0.4
04/06/2001,33.28,18.35,16.05,136.0,1.28,0.41
05/06/2001,32.09,4.76,16.36,84.6,1.73,0.43
06/06/2001,32.52,2.6,14.85,321.1,1.49,0.42
07/06/2001,30.61,1.81,14.13,175.6,1.42,0.42
08/06/2001,32.13,5.52,13.58,57.8,1.29,0.43
09/06/2001,34.11,0.0,13.25,112.7,1.43,0.42
10/06/2001,34.54,0.01,12.53,110.9,1.42,0.42
11/06/2001,34.96,0.34,12.55,119.0,1.87,0.41
12/06/2001,35.49,0.12,13.69,110.9,2.32,0.41
13/06/2001,36.28,6.43,16.24,142.3,1.93,0.41
14/06/2001,33.34,9.79,18.71,98.8,2.33,0.42
15/06/2001,32.94,11.58,17.19,124.5,2.48,0.43
16/06/2001,32.67,8.84,16.72,318.4,2.02,0.44
17/06/2001,32.1,2.68,16.98,309.5,1.09,0.44
18/06/2001,33.59,0.21,15.37,315.1,1.93,0.43
19/06/2001,34.24,0.29,14.59,294.8,2.75,0.43
20/06/2001,35.13,3.42,16.47,269.0,2.87,0.43
21/06/2001,35.08,1.2,16.79,264.4,3.25,0.42
22/06/2001,34.55,0.01,15.59,263.8,2.71,0.42
23/06/2001,33.52,9.27,16.57,133.5,2.35,0.43
24/06/2001,33.29,5.27,17.61,114.8,1.42,0.43
